obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	gA(s^-1)	fik	log_gf	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"429.1006"	"0.0008"	"429.10012"	"0.00004"	"3"	"4.94e+05"	"3.41e-04"	"-2.87"	B	"2.104429202"	"4.99301675"	"2p6.3p"	"2P*"	"3/2"	"2p6.11s"	"2S"	"1/2"		"T7799"	"L6096"	
"432.4615"	"0.0008"	"432.4615"	"0.0004"	"7*"	"4.56e+05"	"3.20e-04"	"-2.89"	B	"2.104429202"	"4.9705650"	"2p6.3p"	"2P*"	"3/2"	"2p6.9d"	"2D"	"3/2"		"T7799"	"L6096"	
"432.4615"	"0.0008"	"432.4615"	"0.0004"	"7*"	"4.10e+06"	"2.88e-03"	"-1.94"	B	"2.104429202"	"4.9705650"	"2p6.3p"	"2P*"	"3/2"	"2p6.9d"	"2D"	"5/2"		"T7799"	"L6096"	
"434.1489"	"0.0008"	"434.1489"	"0.0004"	"4"	"6.52e+05"	"9.22e-04"	"-2.734"	C+	"2.102297177"	"4.9572937"	"2p6.3p"	"2P*"	"1/2"	"2p6.10s"	"2S"	"1/2"		"c30"	"L6096"	
"434.4736"	"0.0008"	"434.4733"	"0.0004"	"5"	"1.30e+06"	"9.20e-04"	"-2.434"	C+	"2.104429202"	"4.9572937"	"2p6.3p"	"2P*"	"3/2"	"2p6.10s"	"2S"	"1/2"		"c30"	"L6096"	
"439.0029"	"0.0008"	"439.0022"	"0.0004"	"8"	"3.93e+06"	"5.69e-03"	"-1.944"	B+	"2.102297177"	"4.9257310"	"2p6.3p"	"2P*"	"1/2"	"2p6.8d"	"2D"	"3/2"		"c30"	"L6096"	
"439.3340"	"0.0008"	"439.3340"	"0.0004"	"9*"	"7.02e+06"	"5.09e-03"	"-1.691"	B+	"2.104429202"	"4.9257310"	"2p6.3p"	"2P*"	"3/2"	"2p6.8d"	"2D"	"5/2"		"c30"	"L6096"	
"439.3340"	"0.0008"	"439.3340"	"0.0004"	"9*"	"7.80e+05"	"5.66e-04"	"-2.645"	B	"2.104429202"	"4.9257310"	"2p6.3p"	"2P*"	"3/2"	"2p6.8d"	"2D"	"3/2"		"c30"	"L6096"	
"441.9885"	"0.0008"	"441.9883"	"0.0004"	"6"	"5.64e+05"	"8.25e-04"	"-2.783"	C+	"2.102297177"	"4.9066561"	"2p6.3p"	"2P*"	"1/2"	"2p6.9s"	"2S"	"1/2"		"c30"	"L6096"	
"442.3246"	"0.0008"	"442.3246"	"0.0004"	"7"	"1.12e+06"	"8.24e-04"	"-2.482"	C+	"2.104429202"	"4.9066561"	"2p6.3p"	"2P*"	"3/2"	"2p6.9s"	"2S"	"1/2"		"c30"	"L6096"	
"443.23"	"0.02"	"443.234"	"0.014"	"310"	"8.4e+07"	"6.2e-02"	"-0.61"	D	"32.7002"	"35.4967"	"2p5.(2P*).3s.3p.(3P*)"	"4S"	"3/2"	"2p5.3s.(3P*).4s"	"4P*"	"5/2"		"T5209"	"L6269"	
"449.4177"	"0.0009"	"449.4180"	"0.0004"	"10"	"4.92e+06"	"7.44e-03"	"-1.827"	B+	"2.102297177"	"4.8602959"	"2p6.3p"	"2P*"	"1/2"	"2p6.7d"	"2D"	"3/2"		"c30"	"L6096"	
"449.7658"	"0.0009"	"449.7657"	"0.0004"	"11*"	"8.76e+06"	"6.67e-03"	"-1.574"	B+	"2.104429202"	"4.8602959"	"2p6.3p"	"2P*"	"3/2"	"2p6.7d"	"2D"	"5/2"		"c30"	"L6096"	
"449.7658"	"0.0009"	"449.7657"	"0.0004"	"11*"	"9.76e+05"	"7.41e-04"	"-2.528"	B	"2.104429202"	"4.8602959"	"2p6.3p"	"2P*"	"3/2"	"2p6.7d"	"2D"	"3/2"		"c30"	"L6096"	
