Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Reference
"=""5p6.15p""","=""2P*""","=""1/2""","=""""","=""3.789317765""","=""""","=""0.000000019""","=""0.00799103""","=""L7057"""
"=""5p6.15p""","=""2P*""","=""3/2""","=""""","=""3.7899103""","=""""","=""0.0000004""","=""0.0005925""","=""L7057,L6284"""
"=""5p6.14d""","=""2D""","=""3/2""","=""""","=""3.79146490""","=""""","=""0.00000006""","=""0.0015546""","=""L6147"""
"=""5p6.14d""","=""2D""","=""5/2""","=""""","=""3.791626184""","=""""","=""0.000000025""","=""0.00016128""","=""L7057"""
"=""5p6.16s""","=""2S""","=""1/2""","=""""","=""3.798613336""","=""""","=""0.000000025""","=""0.00698715""","=""L7057"""
"=""5p6.12f""","=""2F*""","=""7/2""","=""""","=""3.798913391""","=""""","=""0.000000022""","=""0.00030006""","=""L7057,L4940"""
"=""5p6.12f""","=""2F*""","=""5/2""","=""""","=""3.798915550""","=""""","=""0.000000019""","=""0.00000216""","=""L7057"""
"=""5p6.12g""","=""2G""","=""7/2""","=""""","=""3.799316584""","=""""","=""0.000000019""","=""0.00040103""","=""L7057"""
"=""5p6.16p""","=""2P*""","=""1/2""","=""""","=""3.805505791""","=""""","=""0.000000019""","=""0.00618921""","=""L7057"""
"=""5p6.16p""","=""2P*""","=""3/2""","=""""","=""3.8059666""","=""""","=""0.0000004""","=""0.0004608""","=""L7057,L6284"""
"=""5p6.15d""","=""2D""","=""3/2""","=""""","=""3.80717042""","=""""","=""0.00000006""","=""0.0012038""","=""L6147"""
"=""5p6.15d""","=""2D""","=""5/2""","=""""","=""3.807296076""","=""""","=""0.000000025""","=""0.00012566""","=""L7057"""
"=""5p6.17s""","=""2S""","=""1/2""","=""""","=""3.812766301""","=""""","=""0.000000025""","=""0.00547022""","=""L7057"""
"=""5p6.13f""","=""2F*""","=""7/2""","=""""","=""3.812996423""","=""""","=""0.000000022""","=""0.00023012""","=""L7057,L4940"""
"=""5p6.13f""","=""2F*""","=""5/2""","=""""","=""3.812998144""","=""""","=""0.000000019""","=""0.00000172""","=""L7057"""
"=""5p6.13g""","=""2G""","=""7/2""","=""""","=""3.813315339""","=""""","=""0.000000019""","=""0.00031720""","=""L7057"""
"=""5p6.17p""","=""2P*""","=""1/2""","=""""","=""3.818205847""","=""""","=""0.000000019""","=""0.00489051""","=""L7057"""
"=""5p6.17p""","=""2P*""","=""3/2""","=""""","=""3.8185710""","=""""","=""0.0000004""","=""0.0003652""","=""L7057,L6284"""
"=""5p6.16d""","=""2D""","=""3/2""","=""""","=""3.81952272""","=""""","=""0.00000006""","=""0.0009517""","=""L6147"""
"=""5p6.16d""","=""2D""","=""5/2""","=""""","=""3.819622484""","=""""","=""0.000000025""","=""0.00009976""","=""L7057"""
"=""5p6.18s""","=""2S""","=""1/2""","=""""","=""3.823984841""","=""""","=""0.000000025""","=""0.00436236""","=""L7057"""
"=""5p6.14f""","=""2F*""","=""7/2""","=""""","=""3.824165349""","=""""","=""0.000000019""","=""0.00018051""","=""L7057,L4940"""
"=""5p6.14f""","=""2F*""","=""5/2""","=""""","=""3.824166742""","=""""","=""0.000000019""","=""0.00000139""","=""L7057"""
"=""5p6.14g""","=""2G""","=""7/2""","=""""","=""3.824421821""","=""""","=""0.000000019""","=""0.00025508""","=""L7057"""
"=""5p6.18p""","=""2P*""","=""1/2""","=""""","=""3.828352787""","=""""","=""0.000000019""","=""0.00393097""","=""L7057"""
"=""5p6.18p""","=""2P*""","=""3/2""","=""""","=""3.828647273""","=""""","=""0.000000025""","=""0.00029449""","=""L7057,L6284"""
"=""5p6.17d""","=""2D""","=""3/2""","=""""","=""3.82941264""","=""""","=""0.00000006""","=""0.00076537""","=""L6147"""
"=""5p6.17d""","=""2D""","=""5/2""","=""""","=""3.829493134""","=""""","=""0.000000025""","=""0.00008049""","=""L7057"""
"=""5p6.19s""","=""2S""","=""1/2""","=""""","=""3.833027612""","=""""","=""0.000000025""","=""0.00353448""","=""L7057"""
"=""5p6.15f""","=""2F*""","=""7/2""","=""""","=""3.833171929""","=""""","=""0.000000019""","=""0.00014432""","=""L7057,L4940"""
"=""5p6.15f""","=""2F*""","=""5/2""","=""""","=""3.833173072""","=""""","=""0.000000019""","=""0.00000114""","=""L7057"""
