Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Splitting,Leading percentages,Reference
"=""2p5.(2P*).3s.3p.(3P*)""","=""2D""","=""3/2""","=""""","=""33.4418""","=""""","=""0.0016""","=""0.079""","=""  48                                               :    43                        4P          ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""2D""","=""5/2""","=""""","=""33.5000""","=""""","=""0.0016""","=""0.058""","=""  78                                               :    15                        4P          ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""2P""","=""1/2""","=""""","=""33.5479""","=""""","=""0.0016""","=""0.048""","=""  94                                                                                          ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""2P""","=""3/2""","=""""","=""33.5845""","=""""","=""0.0016""","=""0.037""","=""  92                                                                                          ""","="""""
"=""2p5.(2P*).3s.3p.(3P*)""","=""2S""","=""1/2""","=""""","=""33.8769""","=""""","=""0.0016""","=""0.292""","=""  82                                               :    12  2p5.(2P*).3s.3p.(1P*) 2S          ""","="""""
"=""2p5.(2P*).3s.3p.(1P*)""","=""2D""","=""5/2""","=""""","=""34.7895""","=""""","=""0.0017""","=""0.913""","=""  86                                               :     5  2p5.3s.(3P*).4p       2D          ""","="""""
"=""2p5.(2P*).3s.3p.(1P*)""","=""2D""","=""3/2""","=""""","=""34.9730""","=""""","=""0.0017""","=""0.184""","=""  39                                               :    45                        2P          ""","="""""
"=""2p5.(2P*).3s.3p.(1P*)""","=""2S""","=""1/2""","=""""","=""34.8120""","=""""","=""0.0017""","=""-0.161""","=""  62                                               :    10  2p5.3s.(3P*).4p       2S          ""","="""""
"=""2p5.(2P*).3s.3p.(1P*)""","=""2P""","=""3/2""","=""""","=""34.8419""","=""""","=""0.0017""","=""0.030""","=""  38                                               :    47                        2D          ""","="""""
"=""2p5.(2P*).3s.3p.(1P*)""","=""2P""","=""1/2""","=""""","=""35.0047""","=""""","=""0.0017""","=""0.163""","=""  73                                               :     9                        2S          ""","="""""
